Type,treatment,mean,lcl,ucl,n,Scenario,deplSSdiff,haulSRdiff
Seabird bycatch,control,0.183015682095452,0.118513961066965,0.258074047870645,529,1,0,-1
Seabird bycatch,kite,0.0824861622577808,0.0321985195773752,0.147549285948814,267,1,0,-1
Seabird bycatch,night,0,0,0,21,1,0,-1
Seabird bycatch,night_kite,0,0,0,2,1,0,-1
Fish catch,control,10.2363239300414,9.24491138294847,11.2753242725761,529,1,0,-1
Fish catch,kite,9.17555610664334,7.9502884413191,10.469101102222,267,1,0,-1
Fish catch,night,8.31064910808768,5.28188397581255,11.7591836734694,21,1,0,-1
Fish catch,night_kite,11.5400055555556,9.67777777777778,13.4,2,1,0,-1
Seabird bycatch,control,0.188980608454556,0.119405944104058,0.271915603962762,481,2,1,-1
Seabird bycatch,kite,0.0860241512697515,0.0341032145013399,0.156815861693401,254,2,1,-1
Seabird bycatch,night,0.0521039080963104,0,0.135721457725948,58,2,1,-1
Seabird bycatch,night_kite,0,0,0,15,2,1,-1
Fish catch,control,10.1870221352095,9.14047565803637,11.2666838101052,481,2,1,-1
Fish catch,kite,9.06143712394462,7.78744929577255,10.4249691181459,254,2,1,-1
Fish catch,night,9.73117147079521,7.45892993979201,12.2389829638752,58,2,1,-1
Fish catch,night_kite,11.6599827037037,7.90165740740741,16.2362447089947,15,2,1,-1
Seabird bycatch,control,0.186564617620321,0.114988348456411,0.271482171393602,463,3,2,-1
Seabird bycatch,kite,0.08920310867206,0.034188493091357,0.163254127453433,246,3,2,-1
Seabird bycatch,night,0.0618424722713182,0,0.142072392774727,71,3,2,-1
Seabird bycatch,night_kite,0,0,0,23,3,2,-1
Fish catch,control,10.2450493798986,9.18384624462696,11.3145455525599,463,3,2,-1
Fish catch,kite,9.13039565836513,7.8344762987851,10.5309815473886,246,3,2,-1
Fish catch,night,9.39970257066207,7.45117686276389,11.4951482306538,71,3,2,-1
Fish catch,night_kite,10.0338813906142,7.1689190821256,13.3005866114562,23,3,2,-1
Seabird bycatch,control,0.157746661115992,0.0951903752899223,0.233430983718747,449,4,3,-1
Seabird bycatch,kite,0.0805015425725724,0.0292814465609504,0.153220927464477,239,4,3,-1
Seabird bycatch,night,0.101526179981123,0.03068069806117,0.189417924893786,83,4,3,-1
Seabird bycatch,night_kite,0.0892199276847291,0,0.269791133004926,30,4,3,-1
Fish catch,control,10.0625776793557,8.99776822972693,11.1740514172756,449,4,3,-1
Fish catch,kite,9.09767992828521,7.78295954104561,10.5139755562197,239,4,3,-1
Fish catch,night,9.71487375379067,7.97233966478158,11.603085095484,83,4,3,-1
Fish catch,night_kite,9.99930404232804,7.65359788359788,12.6289682539683,30,4,3,-1
Seabird bycatch,control,0.160729498473657,0.0965275440154404,0.236577234272261,439,5,4,-1
Seabird bycatch,kite,0.0813038876800664,0.0289010347594835,0.154528146936007,236,5,4,-1
Seabird bycatch,night,0.0915784306333725,0.0276793254247512,0.171600173776548,92,5,4,-1
Seabird bycatch,night_kite,0.0819919779668607,0,0.245264666368115,33,5,4,-1
Fish catch,control,10.0542837467816,8.95809312203748,11.2148602618901,439,5,4,-1
Fish catch,kite,9.06885488366002,7.73206098043737,10.5196498760521,236,5,4,-1
Fish catch,night,9.67923962523415,8.07905113132209,11.4140627464754,92,5,4,-1
Fish catch,night_kite,10.1885863900914,7.94396344396344,12.7249242424242,33,5,4,-1
Seabird bycatch,control,0.183249162631343,0.115795180639147,0.260955131259748,512,6,0,0
Seabird bycatch,kite,0.0825198306044403,0.0316050138216709,0.149552507266029,266,6,0,0
Seabird bycatch,night,0,0,0,31,6,0,0
Seabird bycatch,night_kite,0,0,0,3,6,0,0
Fish catch,control,10.3272277225061,9.29244267961959,11.3922581303442,512,6,0,0
Fish catch,kite,9.19265757362738,7.95690978011923,10.5087088580294,266,6,0,0
Fish catch,night,8.55926612391193,5.85092165898618,11.5990533794163,31,6,0,0
Fish catch,night_kite,10.1779203703704,7.44444444444445,13.4,3,6,0,0
Seabird bycatch,control,0.214656696469949,0.13050171018407,0.314531829902864,397,7,1,0
Seabird bycatch,kite,0.0895357623404398,0.0350638001388769,0.162909656667836,245,7,1,0
Seabird bycatch,night,0.0270464399858045,0,0.0702843263223657,112,7,1,0
Seabird bycatch,night_kite,0,0,0,24,7,1,0
Fish catch,control,10.1214902423863,8.94693174788807,11.3580066966725,397,7,1,0
Fish catch,kite,9.05780838604162,7.75248081756058,10.483320730097,245,7,1,0
Fish catch,night,9.77556914352527,8.07292620262391,11.575295518505,112,7,1,0
Fish catch,night_kite,10.5309902083333,7.67043650793651,13.8123247354497,24,7,1,0
Seabird bycatch,control,0.204610440966526,0.114767666397395,0.316316231835119,332,8,2,0
Seabird bycatch,kite,0.0988306972063621,0.0389315030759673,0.179621447764893,221,8,2,0
Seabird bycatch,night,0.0605856452411463,0.0196192513608441,0.109217499112358,166,8,2,0
Seabird bycatch,night_kite,0,0,0,48,8,2,0
Fish catch,control,10.3316585817344,9.04443140470043,11.7001049847349,332,8,2,0
Fish catch,kite,9.15962664913555,7.75860724118707,10.6139921262522,221,8,2,0
Fish catch,night,9.65905955172163,8.20025850681638,11.2273583984464,166,8,2,0
Fish catch,night_kite,9.43127327876984,7.12406376763668,11.9518783068783,48,8,2,0
Seabird bycatch,control,0.190847350941121,0.105834138656437,0.291815459705245,285,9,3,0
Seabird bycatch,kite,0.0928195783554907,0.0327345800081269,0.175716096596227,207,9,3,0
Seabird bycatch,night,0.0708567802348281,0.0310002066468619,0.116805194707089,199,9,3,0
Seabird bycatch,night_kite,0.0436147826791673,0,0.130544096615287,62,9,3,0
Fish catch,control,10.9997139870555,9.56517010721248,12.5235685852197,285,9,3,0
Fish catch,kite,9.2824259039279,7.8540961438467,10.8202947389369,207,9,3,0
Fish catch,night,9.13070320865856,7.85097516494035,10.4999524474223,199,9,3,0
Fish catch,night_kite,8.90330098071343,6.92933262928827,11.0037208141321,62,9,3,0
Seabird bycatch,control,0.204197832240361,0.109714719830166,0.315243809374787,261,10,4,0
