Season,Trial_type_by_fishermen,n_sets,Tot_effort,Tot_fish,Tot_bycatch,CPUE,BPUE,NightDefinition
2019-2020,Control,51,597007.5,612.5,28,0.00107345608610148,3.45894697466613e-05,by fisherman
2019-2020,Kites,51,709357.5,552.7,3,0.000940093725105475,3.42493126694325e-06,by fisherman
2019-2020,Night,49,523777.5,480.3,1,0.00102721358019266,4.12286126571841e-06,by fisherman
2021-2022,Control,59,760042.5,330.39,7,0.000438453841924789,1.12920353671206e-05,by fisherman
2021-2022,Kites,59,760042.5,405.27,3,0.000527976258454349,4.88052987227129e-06,by fisherman
2021-2022,Night,59,534240,301.89,3,0.000583090159890711,5.67748466908131e-06,by fisherman
2022-2023,Control,97,1304527.5,1675.64,21,0.00141995509240277,1.50710070120237e-05,by fisherman
2022-2023,Kites,72,1021897.5,1075.82,2,0.00112677714642149,2.38830099941211e-06,by fisherman
2022-2023,Night,63,733822.5,1112.5,2,0.00167298563232904,2.94230398970708e-06,by fisherman
2023-2024,Control,139,1890967.5,812.892,43,0.000457611549026303,2.1688234471162e-05,by fisherman
2023-2024,Kites,87,1171635,400.032,15,0.00037715187530486,1.31881492370838e-05,by fisherman
2023-2024,Night,52,571650,261.49,5,0.000472793891311487,9.93274802798612e-06,by fisherman
2019-2020,Control,54,775605,782.7,29,0.00111012310614033,3.10665176530222e-05,within 3 hrs of sunset
2019-2020,Night,97,1054537.5,862.8,3,0.000959565547107395,4.77487320052408e-06,within 3 hrs of sunset
2021-2022,Control,123,1590435,726.01,5,0.000447751325558489,3.07182236687867e-06,within 3 hrs of sunset
2021-2022,Night,54,463890,311.54,8,0.000673116339115314,1.68762739532193e-05,within 3 hrs of sunset
2022-2023,Control,180,2595367.5,2986.96,23,0.00123745302680441,9.07691862291093e-06,within 3 hrs of sunset
2022-2023,Night,52,464880,877,2,0.00195231054841063,3.56471444906819e-06,within 3 hrs of sunset
2023-2024,Control,217,3000172.5,1184.904,63,0.000429509796029143,2.15600759104751e-05,within 3 hrs of sunset
2023-2024,Night,61,634080,289.51,0,0.000455768443869709,0,within 3 hrs of sunset
2019-2020,Control,65,931470,867.7,29,0.00104805877498306,2.580910697328e-05,within 2 hrs of sunset
2019-2020,Night,86,898672.5,777.8,3,0.000987217272408095,5.38561279593995e-06,within 2 hrs of sunset
2021-2022,Control,139,1733550,832.51,9,0.000483055538357534,5.99442807963419e-06,within 2 hrs of sunset
2021-2022,Night,38,320775,205.04,4,0.000638867776953259,1.19980905665991e-05,within 2 hrs of sunset
2022-2023,Control,190,2682757.5,3087.96,24,0.00123621665474669,9.06330933495117e-06,within 2 hrs of sunset
2022-2023,Night,42,377490,776,1,0.00212810783191132,2.31385071035217e-06,within 2 hrs of sunset
2023-2024,Control,229,3124425,1206.454,63,0.000415845421431612,2.04302902732449e-05,within 2 hrs of sunset
2023-2024,Night,49,509827.5,267.96,0,0.000526059169521166,0,within 2 hrs of sunset
2019-2020,Control,75,858195,884.5,27,0.00107625478505748,2.27325421422573e-05,sunset to sunrise
2019-2020,Kites,41,615420,468.2,3,0.000927078930587397,4.26028035644161e-06,sunset to sunrise
2019-2020,Night,35,356527.5,292.8,2,0.000979861736217162,7.46121424087526e-06,sunset to sunrise
2021-2022,Control,118,1294282.5,632.28,10,0.00051077200090775,8.48476001810096e-06,sunset to sunrise
2021-2022,Kites,59,760042.5,405.27,3,0.000527976258454349,4.88052987227129e-06,sunset to sunrise
2022-2023,Control,154,1995300,2684.14,22,0.00148130961731592,1.00653967641757e-05,sunset to sunrise
2022-2023,Kites,71,1016227.5,1052.82,2,0.00108551432609263,2.42193904165735e-06,sunset to sunrise
2022-2023,Night,7,48720,127,1,0.00272407073184527,1.3883104262113e-05,sunset to sunrise
2023-2024,Control,191,2462617.5,1074.382,48,0.00046174496158562,1.8487787900245e-05,sunset to sunrise
2023-2024,Kites,87,1171635,400.032,15,0.00037715187530486,1.31881492370838e-05,sunset to sunrise
2019-2020,Control,100,1120785,1092.8,29,0.00105079725820616,1.96608315909993e-05,nautical dusk to dawn
2019-2020,Kites,51,709357.5,552.7,3,0.000940093725105475,3.42493126694325e-06,nautical dusk to dawn
2021-2022,Control,118,1294282.5,632.28,10,0.00051077200090775,8.48476001810096e-06,nautical dusk to dawn
2021-2022,Kites,59,760042.5,405.27,3,0.000527976258454349,4.88052987227129e-06,nautical dusk to dawn
2022-2023,Control,157,2016930,2725.14,23,0.00148998337320668,1.0492056251706e-05,nautical dusk to dawn
2022-2023,Kites,72,1021897.5,1075.82,2,0.00112677714642149,2.38830099941211e-06,nautical dusk to dawn
2022-2023,Night,3,21420,63,0,0.00306878306878307,0,nautical dusk to dawn
2023-2024,Control,191,2462617.5,1074.382,48,0.00046174496158562,1.8487787900245e-05,nautical dusk to dawn
2023-2024,Kites,87,1171635,400.032,15,0.00037715187530486,1.31881492370838e-05,nautical dusk to dawn
